frame.number,frame.time_relative,frame.len,frame.time_delta,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.flags,icmp.type,icmp.seq,mqtt.msgtype,label
93,0.02882,162,7e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,6401.0,5.0,1
94,0.02883,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,6401.0,5.0,1
95,0.028837,162,7e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,6657.0,5.0,1
96,0.028847,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,6657.0,5.0,1
97,0.028894,162,4.7e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,6913.0,5.0,1
98,0.028907,162,1.3e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,6913.0,5.0,1
99,0.028917,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,7169.0,5.0,1
100,0.028927,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,7169.0,5.0,1
101,0.028936,162,9e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,7425.0,5.0,1
102,0.028947,162,1.1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,7425.0,5.0,1
103,0.028955,162,8e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,7681.0,5.0,1
104,0.028966,162,1.1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,7681.0,5.0,1
105,0.028975,162,9e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,7937.0,5.0,1
106,0.028985,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,7937.0,5.0,1
107,0.028992,162,7e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,8193.0,5.0,1
108,0.029002,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,8193.0,5.0,1
109,0.029011,162,9e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,8449.0,5.0,1
110,0.029021,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,8449.0,5.0,1
111,0.029028,162,7e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,8705.0,5.0,1
112,0.029038,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,8705.0,5.0,1
113,0.029074,162,3.6e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,8961.0,5.0,1
114,0.029085,162,1.1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,8961.0,5.0,1
115,0.029094,162,9e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,9217.0,5.0,1
116,0.029108,162,1.4e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,9217.0,5.0,1
117,0.029117,162,9e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,9473.0,5.0,1
118,0.029127,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,9473.0,5.0,1
119,0.029136,162,9e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,9729.0,5.0,1
120,0.029145,162,9e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,9729.0,5.0,1
121,0.029154,162,9e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,9985.0,5.0,1
122,0.029163,162,9e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,9985.0,5.0,1
123,0.043644,162,0.014481,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,10241.0,5.0,1
124,0.04369,162,4.6e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,10241.0,5.0,1
125,0.043723,162,3.3e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,10497.0,5.0,1
126,0.043736,162,1.3e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,10497.0,5.0,1
127,0.043746,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,10753.0,5.0,1
128,0.043757,162,1.1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,10753.0,5.0,1
129,0.043764,162,7e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,11009.0,5.0,1
130,0.043774,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,11009.0,5.0,1
131,0.043781,162,7e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,11265.0,5.0,1
132,0.043791,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,11265.0,5.0,1
133,0.043799,162,8e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,11521.0,5.0,1
134,0.043821,162,2.2e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,11521.0,5.0,1
135,0.043829,162,8e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,11777.0,5.0,1
136,0.043839,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,11777.0,5.0,1
137,0.043848,162,9e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,12033.0,5.0,1
138,0.043858,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,12033.0,5.0,1
139,0.043908,162,5e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,12289.0,5.0,1
140,0.043918,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,12289.0,5.0,1
141,0.043928,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,12545.0,5.0,1
142,0.043938,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,12545.0,5.0,1
143,0.043947,162,9e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,12801.0,5.0,1
144,0.043957,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,12801.0,5.0,1
145,0.043966,162,9e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,13057.0,5.0,1
146,0.043976,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,13057.0,5.0,1
147,0.043985,162,9e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,13313.0,5.0,1
148,0.043994,162,9e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,13313.0,5.0,1
149,0.044003,162,9e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,13569.0,5.0,1
150,0.044012,162,9e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,13569.0,5.0,1
151,0.04402,162,8e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,13825.0,5.0,1
152,0.04403,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,13825.0,5.0,1
153,0.044039,162,9e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,14081.0,5.0,1
154,0.044049,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,14081.0,5.0,1
155,0.044086,162,3.7e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,14337.0,5.0,1
156,0.044097,162,1.1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,14337.0,5.0,1
157,0.044107,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,14593.0,5.0,1
158,0.044117,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,14593.0,5.0,1
159,0.044125,162,8e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,14849.0,5.0,1
160,0.044135,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,14849.0,5.0,1
161,0.044144,162,9e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,15105.0,5.0,1
162,0.044156,162,1.2e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,15105.0,5.0,1
163,0.044165,162,9e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,15361.0,5.0,1
164,0.044174,162,9e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,15361.0,5.0,1
165,0.047012,162,0.002838,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,15617.0,5.0,1
166,0.047057,162,4.5e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,15617.0,5.0,1
167,0.047086,162,2.9e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,15873.0,5.0,1
168,0.047098,162,1.2e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,15873.0,5.0,1
169,0.047108,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,16129.0,5.0,1
170,0.047127,162,1.9e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,16129.0,5.0,1
171,0.047134,162,7e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,16385.0,5.0,1
172,0.047145,162,1.1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,16385.0,5.0,1
173,0.047152,162,7e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,16641.0,5.0,1
174,0.047162,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,16641.0,5.0,1
175,0.047169,162,7e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,16897.0,5.0,1
